ID,Work Item Type,Title,Assigned To,State,Closed Date,HorasDec
"426317","Bug","Envio de frases Agente x Extensão","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","03/08/2026 15:44:50","8"
"426688","Bug","Permissão x Matricula iniciada com 0","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","28/08/2026 16:20:32","3"
"429315","Bug","Envio de frases Agente x Extensão - Copy","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","03/08/2026 15:44:31","8"
"430687","Bug","Botão minimizar ausente","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:57:44","1"
"430690","Bug","Digitar x Área da tela","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:57:52","2"
"430693","Bug","Digitar x Ocultar","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:58:10","2"
"430694","Bug","Posição do ícone x Minimizar","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","06/08/2026 18:08:36","1"
"430697","Bug","Abrir/Focar Recomendações x foco","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:58:27","1"
"430698","Bug","Redimensionamento x barra de rolagem","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:58:47","0"
"430700","Bug","Estilo WPF x Barra superior","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:58:58","0"
"430701","Bug","Extensão x Redimencionamento","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","07/08/2026 11:59:13","2"
"431889","Bug","O botão de inserir anexo deveria estar bloqueado quando não houver chat ativo","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","11/08/2026 10:44:46","1"
"432822","Bug","Extensão x minimizar","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","11/08/2026 10:54:33","1"
"437916","Bug","O chat é limpo inesperadamente","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","14/09/2026 10:59:24","3"
"438864","Bug","Liberação e bloqueio de chat","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","14/09/2026 11:01:11","4"
"438920","Bug","Limpeza de balões de chat ao encerrar atendimentos","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","14/09/2026 11:00:24","2"
"444027","Bug","Consumo de memória","PITANG CONSULTORIA E SISTEMAS S A - Raphael Barbosa Holmes <pitang.raphael.holme@grupoaec.com.br>","Closed","14/09/2026 11:01:52","1"
